_id,Year,State/Country,Classification,Industry,Person ('000)
1,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Total,14956.7
2,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",1566
3,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,82.2
4,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,2498
5,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",76.4
6,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Water supply; sewerage, waste management and remediation activities",83.7
7,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Construction,1173.4
8,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Wholesale and retail trade, repair of motor vehicles and motorcycles",2765.6
9,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Transportation and storage,689.2
10,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Accommodation and food service activities,1540
11,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Information and communication,223.4
12,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Financial and insurance/takaful activities,372.1
13,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Real estate activities,82.1
14,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Professional, scientific and technical activities",379.3
15,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Administrative and support service activities,801.9
16,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Public administration and defence; compulsory social security,734.9
17,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Education,937.6
18,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Human health and social work activities,559.6
19,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,"Arts, entertainment and recreation",58.2
20,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Others service activities,267
21,2020,MALAYSIA,Malaysia Standard Industrial Classification (MSIC) 2008,Activities of households as employers,66.1
22,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Total,1775.6
23,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Agriculture, forestry and fishing",127.8
24,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Mining and quarrying,7.8
25,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,Manufacturing,434.7
26,2020,JOHOR,Malaysia Standard Industrial Classification (MSIC) 2008,"Electricity, gas, steam and air conditioning supply",7.9
