_id,Year,Country/State,Classification,Occupation,Person ('000)
1,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,808.4
2,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,1867.7
3,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,1547.2
4,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,1242.1
5,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,3632.3
6,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",916.3
7,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,1472.5
8,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,1689.9
9,2020,MALAYSIA,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,1780.3
10,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,73.4
11,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,160.0
12,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,187.6
13,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,132.5
14,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,442.4
15,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",62.5
16,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,233.3
17,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,265.4
18,2020,JOHOR,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,218.6
19,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,26.6
20,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,97.0
21,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,75.7
22,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,52.2
23,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,252.4
24,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",103.9
25,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,92.6
26,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,116.0
27,2020,KEDAH,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,98.2
28,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,11.6
29,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,70.1
30,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,45.0
31,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,29.8
32,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,209.6
33,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",75.2
34,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,104.4
35,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,43.5
36,2020,KELANTAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,91.5
37,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,20.6
38,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,61.8
39,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,56.2
40,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,37.4
41,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,108.6
42,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",9.1
43,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,34.0
44,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,57.3
45,2020,MELAKA,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,32.2
46,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,27.0
47,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,61.2
48,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,60.7
49,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,34.8
50,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,119.3
51,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",17.4
52,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,38.1
53,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,59.8
54,2020,NEGERI SEMBILAN,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,55.7
55,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,26.3
56,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,77.1
57,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,57.4
58,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,49.5
59,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Service and sales workers,178.9
60,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,"Skilled agricultural, forestry, livestock and fishery workers",86.7
61,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Craft and related trades workers,71.0
62,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Plant and machine-operators and assemblers,61.7
63,2020,PAHANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Elementary occupations,107.4
64,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Managers,57.8
65,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Professionals,133.1
66,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Technicians and associate professionals,110.2
67,2020,PULAU PINANG,Malaysia Standard Classification of Occupations (MASCO) 2013,Clerical support workers,93.1
