_id,Year,State,Citizen Category,Ethnic Group,Value ('000)
1,2020,MALAYSIA,Total of employed,N.A,14956.7
2,2020,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12865.9
3,2020,MALAYSIA,Malaysian citizens,Bumiputera,8540.2
4,2020,MALAYSIA,Malaysian citizens,Chinese,3281.6
5,2020,MALAYSIA,Malaysian citizens,Indians,948.7
6,2020,MALAYSIA,Malaysian citizens,Others,95.3
7,2020,MALAYSIA,Non Malaysian citizens,N.A,2090.9
8,2020,JOHOR,Total of employed,N.A,1775.6
9,2020,JOHOR,Malaysian citizens,Total Malaysian citizens,1553.6
10,2020,JOHOR,Malaysian citizens,Bumiputera,910.9
11,2020,JOHOR,Malaysian citizens,Chinese,527.8
12,2020,JOHOR,Malaysian citizens,Indians,108.6
13,2020,JOHOR,Malaysian citizens,Others,6.3
14,2020,JOHOR,Non Malaysian citizens,N.A,222
15,2020,KEDAH,Total of employed,N.A,914.7
16,2020,KEDAH,Malaysian citizens,Total Malaysian citizens,851.8
17,2020,KEDAH,Malaysian citizens,Bumiputera,668
18,2020,KEDAH,Malaysian citizens,Chinese,115
19,2020,KEDAH,Malaysian citizens,Indians,64.2
20,2020,KEDAH,Malaysian citizens,Others,4.6
21,2020,KEDAH,Non Malaysian citizens,N.A,62.9
22,2020,KELANTAN,Total of employed,N.A,680.8
23,2020,KELANTAN,Malaysian citizens,Total Malaysian citizens,649.3
24,2020,KELANTAN,Malaysian citizens,Bumiputera,620.5
25,2020,KELANTAN,Malaysian citizens,Chinese,23.3
26,2020,KELANTAN,Malaysian citizens,Indians,1.3
27,2020,KELANTAN,Malaysian citizens,Others,4.3
28,2020,KELANTAN,Non Malaysian citizens,N.A,31.4
29,2020,MELAKA,Total of employed,N.A,417.3
30,2020,MELAKA,Malaysian citizens,Total Malaysian citizens,384.9
31,2020,MELAKA,Malaysian citizens,Bumiputera,259.8
32,2020,MELAKA,Malaysian citizens,Chinese,100.4
33,2020,MELAKA,Malaysian citizens,Indians,23
34,2020,MELAKA,Malaysian citizens,Others,1.6
35,2020,MELAKA,Non Malaysian citizens,N.A,32.5
36,2020,N.SEMBILAN,Total of employed,N.A,474.1
37,2020,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,416.4
38,2020,N.SEMBILAN,Malaysian citizens,Bumiputera,252.5
39,2020,N.SEMBILAN,Malaysian citizens,Chinese,97.3
40,2020,N.SEMBILAN,Malaysian citizens,Indians,65.5
41,2020,N.SEMBILAN,Malaysian citizens,Others,1
42,2020,N.SEMBILAN,Non Malaysian citizens,N.A,57.7
43,2020,PAHANG,Total of employed,N.A,715.9
44,2020,PAHANG,Malaysian citizens,Total Malaysian citizens,643.3
45,2020,PAHANG,Malaysian citizens,Bumiputera,508.8
46,2020,PAHANG,Malaysian citizens,Chinese,105.1
47,2020,PAHANG,Malaysian citizens,Indians,27.8
48,2020,PAHANG,Malaysian citizens,Others,1.5
49,2020,PAHANG,Non Malaysian citizens,N.A,72.6
50,2020,P.PINANG,Total of employed,N.A,832.9
51,2020,P.PINANG,Malaysian citizens,Total Malaysian citizens,730.7
52,2020,P.PINANG,Malaysian citizens,Bumiputera,337.7
53,2020,P.PINANG,Malaysian citizens,Chinese,323.7
54,2020,P.PINANG,Malaysian citizens,Indians,68.1
55,2020,P.PINANG,Malaysian citizens,Others,1.2
56,2020,P.PINANG,Non Malaysian citizens,N.A,102.1
57,2020,PERAK,Total of employed,N.A,1042.8
58,2020,PERAK,Malaysian citizens,Total Malaysian citizens,974.6
59,2020,PERAK,Malaysian citizens,Bumiputera,559.1
60,2020,PERAK,Malaysian citizens,Chinese,306.5
61,2020,PERAK,Malaysian citizens,Indians,106.1
62,2020,PERAK,Malaysian citizens,Others,2.9
63,2020,PERAK,Non Malaysian citizens,N.A,68.2
64,2020,PERLIS,Total of employed,N.A,105.6
65,2020,PERLIS,Malaysian citizens,Total Malaysian citizens,101.5
66,2020,PERLIS,Malaysian citizens,Bumiputera,90.9
67,2020,PERLIS,Malaysian citizens,Chinese,7.5
68,2020,PERLIS,Malaysian citizens,Indians,1.1
69,2020,PERLIS,Malaysian citizens,Others,2
70,2020,PERLIS,Non Malaysian citizens,N.A,4.1
71,2020,SELANGOR,Total of employed,N.A,3446.5
72,2020,SELANGOR,Malaysian citizens,Total Malaysian citizens,3071.6
73,2020,SELANGOR,Malaysian citizens,Bumiputera,1780.6
74,2020,SELANGOR,Malaysian citizens,Chinese,872
75,2020,SELANGOR,Malaysian citizens,Indians,404.5
76,2020,SELANGOR,Malaysian citizens,Others,14.6
77,2020,SELANGOR,Non Malaysian citizens,N.A,374.9
78,2020,TERENGGANU,Total of employed,N.A,465
79,2020,TERENGGANU,Malaysian citizens,Total Malaysian citizens,445.6
80,2020,TERENGGANU,Malaysian citizens,Bumiputera,431.6
81,2020,TERENGGANU,Malaysian citizens,Chinese,13.4
82,2020,TERENGGANU,Malaysian citizens,Indians,0.2
83,2020,TERENGGANU,Malaysian citizens,Others,0.4
84,2020,TERENGGANU,Non Malaysian citizens,N.A,19.4
85,2020,SABAH,Total of employed,N.A,1869.7
86,2020,SABAH,Malaysian citizens,Total Malaysian citizens,1107.1
87,2020,SABAH,Malaysian citizens,Bumiputera,898.2
88,2020,SABAH,Malaysian citizens,Chinese,155.6
89,2020,SABAH,Malaysian citizens,Indians,6.5
90,2020,SABAH,Malaysian citizens,Others,46.9
91,2020,SABAH,Non Malaysian citizens,N.A,762.5
92,2020,SARAWAK,Total of employed,N.A,1262.3
93,2020,SARAWAK,Malaysian citizens,Total Malaysian citizens,1124.4
94,2020,SARAWAK,Malaysian citizens,Bumiputera,832.1
95,2020,SARAWAK,Malaysian citizens,Chinese,287.1
96,2020,SARAWAK,Malaysian citizens,Indians,4.1
97,2020,SARAWAK,Malaysian citizens,Others,1.2
98,2020,SARAWAK,Non Malaysian citizens,N.A,137.9
99,2020,W.P.KUALA LUMPUR,Total of employed,N.A,874.6
100,2020,W.P.KUALA LUMPUR,Malaysian citizens,Total Malaysian citizens,738.9
101,2020,W.P.KUALA LUMPUR,Malaysian citizens,Bumiputera,323
102,2020,W.P.KUALA LUMPUR,Malaysian citizens,Chinese,342.4
103,2020,W.P.KUALA LUMPUR,Malaysian citizens,Indians,67
104,2020,W.P.KUALA LUMPUR,Malaysian citizens,Others,6.4
105,2020,W.P.KUALA LUMPUR,Non Malaysian citizens,N.A,135.7
106,2020,W.P.LABUAN,Total of employed,N.A,42.8
107,2020,W.P.LABUAN,Malaysian citizens,Total Malaysian citizens,37.7
108,2020,W.P.LABUAN,Malaysian citizens,Bumiputera,33.5
109,2020,W.P.LABUAN,Malaysian citizens,Chinese,0.3
110,2020,W.P.LABUAN,Malaysian citizens,Indians,0.5
111,2020,W.P.LABUAN,Malaysian citizens,Others,0
112,2020,W.P.LABUAN,Non Malaysian citizens,N.A,5.1
113,2020,W.P.PUTRAJAYA,Total of employed,N.A,36.2
114,2020,W.P.PUTRAJAYA,Malaysian citizens,Total Malaysian citizens,34.3
115,2020,W.P.PUTRAJAYA,Malaysian citizens,Bumiputera,33.5
116,2020,W.P.PUTRAJAYA,Malaysian citizens,Chinese,0.3
117,2020,W.P.PUTRAJAYA,Malaysian citizens,Indians,0.5
118,2020,W.P.PUTRAJAYA,Malaysian citizens,Others,0
119,2020,W.P.PUTRAJAYA,Non Malaysian citizens,N.A,1.9
120,2019,MALAYSIA,Total of employed,N.A,15073.4
121,2019,MALAYSIA,Malaysian citizens,Total Malaysian citizens,12836.8
122,2019,MALAYSIA,Malaysian citizens,Bumiputera,8489.9
123,2019,MALAYSIA,Malaysian citizens,Chinese,3308.6
124,2019,MALAYSIA,Malaysian citizens,Indians,916.1
125,2019,MALAYSIA,Malaysian citizens,Others,122.3
126,2019,MALAYSIA,Non Malaysian citizens,N.A,2236.6
127,2019,JOHOR,Total of employed,N.A,1756.1
128,2019,JOHOR,Malaysian citizens,Total Malaysian citizens,1534.3
129,2019,JOHOR,Malaysian citizens,Bumiputera,885
130,2019,JOHOR,Malaysian citizens,Chinese,534.6
131,2019,JOHOR,Malaysian citizens,Indians,106.3
132,2019,JOHOR,Malaysian citizens,Others,8.5
133,2019,JOHOR,Non Malaysian citizens,N.A,221.9
134,2019,KEDAH,Total of employed,N.A,923.6
135,2019,KEDAH,Malaysian citizens,Total Malaysian citizens,852.5
136,2019,KEDAH,Malaysian citizens,Bumiputera,666.4
137,2019,KEDAH,Malaysian citizens,Chinese,114.5
138,2019,KEDAH,Malaysian citizens,Indians,62.9
139,2019,KEDAH,Malaysian citizens,Others,8.7
140,2019,KEDAH,Non Malaysian citizens,N.A,71.1
141,2019,KELANTAN,Total of employed,N.A,682.4
142,2019,KELANTAN,Malaysian citizens,Total Malaysian citizens,647.8
143,2019,KELANTAN,Malaysian citizens,Bumiputera,618.1
144,2019,KELANTAN,Malaysian citizens,Chinese,23.5
145,2019,KELANTAN,Malaysian citizens,Indians,1.6
146,2019,KELANTAN,Malaysian citizens,Others,4.5
147,2019,KELANTAN,Non Malaysian citizens,N.A,34.6
148,2019,MELAKA,Total of employed,N.A,428.3
149,2019,MELAKA,Malaysian citizens,Total Malaysian citizens,390.6
150,2019,MELAKA,Malaysian citizens,Bumiputera,258.9
151,2019,MELAKA,Malaysian citizens,Chinese,104.6
152,2019,MELAKA,Malaysian citizens,Indians,25.7
153,2019,MELAKA,Malaysian citizens,Others,1.3
154,2019,MELAKA,Non Malaysian citizens,N.A,37.7
155,2019,N.SEMBILAN,Total of employed,N.A,482.5
156,2019,N.SEMBILAN,Malaysian citizens,Total Malaysian citizens,422.8
157,2019,N.SEMBILAN,Malaysian citizens,Bumiputera,257.3
158,2019,N.SEMBILAN,Malaysian citizens,Chinese,96.6
159,2019,N.SEMBILAN,Malaysian citizens,Indians,66.8
160,2019,N.SEMBILAN,Malaysian citizens,Others,2.1
161,2019,N.SEMBILAN,Non Malaysian citizens,N.A,59.6
162,2019,PAHANG,Total of employed,N.A,719.5
163,2019,PAHANG,Malaysian citizens,Total Malaysian citizens,639.3
164,2019,PAHANG,Malaysian citizens,Bumiputera,501.2
165,2019,PAHANG,Malaysian citizens,Chinese,107.8
166,2019,PAHANG,Malaysian citizens,Indians,28.6
167,2019,PAHANG,Malaysian citizens,Others,1.6
168,2019,PAHANG,Non Malaysian citizens,N.A,80.2
169,2019,P.PINANG,Total of employed,N.A,835.6
170,2019,P.PINANG,Malaysian citizens,Total Malaysian citizens,724.8
171,2019,P.PINANG,Malaysian citizens,Bumiputera,334
172,2019,P.PINANG,Malaysian citizens,Chinese,321.1
173,2019,P.PINANG,Malaysian citizens,Indians,66.7
174,2019,P.PINANG,Malaysian citizens,Others,3
175,2019,P.PINANG,Non Malaysian citizens,N.A,110.9
176,2019,PERAK,Total of employed,N.A,1043.7
177,2019,PERAK,Malaysian citizens,Total Malaysian citizens,970.7
178,2019,PERAK,Malaysian citizens,Bumiputera,559.9
179,2019,PERAK,Malaysian citizens,Chinese,298.4
180,2019,PERAK,Malaysian citizens,Indians,107.8
