_id,Year,State,Marital Status,Person
1,2020,MALAYSIA,Total,14956.7
2,2020,MALAYSIA,Never married,5165.3
3,2020,MALAYSIA,Married,9214.6
4,2020,MALAYSIA,Widowed,301.9
5,2020,MALAYSIA,Divorced/permanently separated,274.9
6,2020,JOHOR,Total,1775.6
7,2020,JOHOR,Never married,565.5
8,2020,JOHOR,Married,1154
9,2020,JOHOR,Widowed,32.1
10,2020,JOHOR,Divorced/permanently separated,24
11,2020,KEDAH,Total,914.7
12,2020,KEDAH,Never married,333.1
13,2020,KEDAH,Married,542.2
14,2020,KEDAH,Widowed,22.9
15,2020,KEDAH,Divorced/permanently separated,16.4
16,2020,KELANTAN,Total,680.8
17,2020,KELANTAN,Never married,231.7
18,2020,KELANTAN,Married,413.2
19,2020,KELANTAN,Widowed,17.6
20,2020,KELANTAN,Divorced/permanently separated,18.2
21,2020,MELAKA,Total,417.3
22,2020,MELAKA,Never married,147.3
23,2020,MELAKA,Married,254.1
24,2020,MELAKA,Widowed,6.9
25,2020,MELAKA,Divorced/permanently separated,9.1
26,2020,N.SEMBILAN,Total,474.1
27,2020,N.SEMBILAN,Never married,170.5
28,2020,N.SEMBILAN,Married,282.2
29,2020,N.SEMBILAN,Widowed,11
30,2020,N.SEMBILAN,Divorced/permanently separated,10.4
31,2020,PAHANG,Total,715.9
32,2020,PAHANG,Never married,239.6
33,2020,PAHANG,Married,443.6
34,2020,PAHANG,Widowed,20.7
35,2020,PAHANG,Divorced/permanently separated,12.1
36,2020,P.PINANG,Total,832.9
37,2020,P.PINANG,Never married,314.4
38,2020,P.PINANG,Married,487.2
39,2020,P.PINANG,Widowed,14.3
40,2020,P.PINANG,Divorced/permanently separated,17
41,2020,PERAK,Total,1042.8
42,2020,PERAK,Never married,407.1
43,2020,PERAK,Married,590.1
44,2020,PERAK,Widowed,25
45,2020,PERAK,Divorced/permanently separated,20.7
46,2020,PERLIS,Total,105.6
47,2020,PERLIS,Never married,30.9
48,2020,PERLIS,Married,68
49,2020,PERLIS,Widowed,2.9
50,2020,PERLIS,Divorced/permanently separated,3.8
51,2020,SELANGOR,Total,3446.5
52,2020,SELANGOR,Never married,1102.8
53,2020,SELANGOR,Married,2226.5
54,2020,SELANGOR,Widowed,67.3
55,2020,SELANGOR,Divorced/permanently separated,49.9
56,2020,TERENGGANU,Total,465
57,2020,TERENGGANU,Never married,159.4
58,2020,TERENGGANU,Married,283.3
59,2020,TERENGGANU,Widowed,11.4
60,2020,TERENGGANU,Divorced/permanently separated,10.9
61,2020,SABAH,Total,1869.7
62,2020,SABAH,Never married,663.5
63,2020,SABAH,Married,1143
64,2020,SABAH,Widowed,32.3
65,2020,SABAH,Divorced/permanently separated,30.9
66,2020,SARAWAK,Total,1262.3
67,2020,SARAWAK,Never married,445.7
68,2020,SARAWAK,Married,764.2
69,2020,SARAWAK,Widowed,20.6
70,2020,SARAWAK,Divorced/permanently separated,31.8
71,2020,W.P.KUALA LUMPUR,Total,874.6
72,2020,W.P.KUALA LUMPUR,Never married,331.5
73,2020,W.P.KUALA LUMPUR,Married,510.3
74,2020,W.P.KUALA LUMPUR,Widowed,15.2
75,2020,W.P.KUALA LUMPUR,Divorced/permanently separated,17.6
76,2020,W.P.LABUAN,Total,42.8
77,2020,W.P.LABUAN,Never married,13.2
78,2020,W.P.LABUAN,Married,27.2
79,2020,W.P.LABUAN,Widowed,1.2
80,2020,W.P.LABUAN,Divorced/permanently separated,1.3
81,2020,W.P.PUTRAJAYA,Total,36.2
82,2020,W.P.PUTRAJAYA,Never married,9.1
83,2020,W.P.PUTRAJAYA,Married,25.7
84,2020,W.P.PUTRAJAYA,Widowed,0.4
85,2020,W.P.PUTRAJAYA,Divorced/permanently separated,1
86,2019,MALAYSIA,Total,15073.4
87,2019,MALAYSIA,Never married,5306.6
88,2019,MALAYSIA,Married,9171
89,2019,MALAYSIA,Widowed,302.3
90,2019,MALAYSIA,Divorced/permanently separated,293.6
91,2019,JOHOR,Total,1756.1
92,2019,JOHOR,Never married,588.2
93,2019,JOHOR,Married,1094.4
94,2019,JOHOR,Widowed,34.3
95,2019,JOHOR,Divorced/permanently separated,39.2
96,2019,KEDAH,Total,923.6
97,2019,KEDAH,Never married,328
98,2019,KEDAH,Married,553.9
99,2019,KEDAH,Widowed,23.6
100,2019,KEDAH,Divorced/permanently separated,18.1
101,2019,KELANTAN,Total,682.4
102,2019,KELANTAN,Never married,244.2
103,2019,KELANTAN,Married,403.2
104,2019,KELANTAN,Widowed,17.9
105,2019,KELANTAN,Divorced/permanently separated,17
106,2019,MELAKA,Total,428.3
107,2019,MELAKA,Never married,146
108,2019,MELAKA,Married,263
109,2019,MELAKA,Widowed,9.2
110,2019,MELAKA,Divorced/permanently separated,10.1
111,2019,N.SEMBILAN,Total,482.5
112,2019,N.SEMBILAN,Never married,159.5
113,2019,N.SEMBILAN,Married,303.2
114,2019,N.SEMBILAN,Widowed,10.7
115,2019,N.SEMBILAN,Divorced/permanently separated,9.1
116,2019,PAHANG,Total,719.5
117,2019,PAHANG,Never married,253.7
118,2019,PAHANG,Married,435.3
119,2019,PAHANG,Widowed,19
120,2019,PAHANG,Divorced/permanently separated,11.5
121,2019,P.PINANG,Total,835.6
122,2019,P.PINANG,Never married,320.6
123,2019,P.PINANG,Married,483.6
124,2019,P.PINANG,Widowed,13.5
125,2019,P.PINANG,Divorced/permanently separated,17.9
126,2019,PERAK,Total,1043.7
127,2019,PERAK,Never married,411.5
128,2019,PERAK,Married,587.5
129,2019,PERAK,Widowed,24.9
130,2019,PERAK,Divorced/permanently separated,19.8
131,2019,PERLIS,Total,108.5
132,2019,PERLIS,Never married,32.7
133,2019,PERLIS,Married,70.1
134,2019,PERLIS,Widowed,2.8
135,2019,PERLIS,Divorced/permanently separated,2.9
136,2019,SELANGOR,Total,3489.5
137,2019,SELANGOR,Never married,1116.6
138,2019,SELANGOR,Married,2257.8
139,2019,SELANGOR,Widowed,63.8
140,2019,SELANGOR,Divorced/permanently separated,51.2
141,2019,TERENGGANU,Total,471
142,2019,TERENGGANU,Never married,168.5
143,2019,TERENGGANU,Married,278.8
144,2019,TERENGGANU,Widowed,12.3
145,2019,TERENGGANU,Divorced/permanently separated,11.3
146,2019,SABAH,Total,1908.6
147,2019,SABAH,Never married,706.5
148,2019,SABAH,Married,1135.5
149,2019,SABAH,Widowed,31
150,2019,SABAH,Divorced/permanently separated,35.6
151,2019,SARAWAK,Total,1304.7
152,2019,SARAWAK,Never married,466.8
153,2019,SARAWAK,Married,781.7
154,2019,SARAWAK,Widowed,23.2
155,2019,SARAWAK,Divorced/permanently separated,33
156,2019,W.P.KUALA LUMPUR,Total,841
157,2019,W.P.KUALA LUMPUR,Never married,342.1
158,2019,W.P.KUALA LUMPUR,Married,468.5
159,2019,W.P.KUALA LUMPUR,Widowed,14.8
160,2019,W.P.KUALA LUMPUR,Divorced/permanently separated,15.5
161,2019,W.P.LABUAN,Total,40.3
162,2019,W.P.LABUAN,Never married,12.5
163,2019,W.P.LABUAN,Married,26.3
164,2019,W.P.LABUAN,Widowed,0.8
165,2019,W.P.LABUAN,Divorced/permanently separated,0.7
166,2019,W.P.PUTRAJAYA,Total,38.1
167,2019,W.P.PUTRAJAYA,Never married,9
168,2019,W.P.PUTRAJAYA,Married,27.9
169,2019,W.P.PUTRAJAYA,Widowed,0.4
170,2019,W.P.PUTRAJAYA,Divorced/permanently separated,0.8
171,2018,MALAYSIA,Total,14776
172,2018,MALAYSIA,Never married,5117.5
173,2018,MALAYSIA,Married,9059
174,2018,MALAYSIA,Widowed,305.5
175,2018,MALAYSIA,Divorced/permanently separated,294
176,2018,JOHOR,Total,1693.3
177,2018,JOHOR,Never married,569.4
178,2018,JOHOR,Married,1055.6
179,2018,JOHOR,Widowed,39.1
180,2018,JOHOR,Divorced/permanently separated,29.1
181,2018,KEDAH,Total,909.2
182,2018,KEDAH,Never married,296.7
183,2018,KEDAH,Married,571.2
184,2018,KEDAH,Widowed,22.9
185,2018,KEDAH,Divorced/permanently separated,18.4
186,2018,KELANTAN,Total,683.3
187,2018,KELANTAN,Never married,224.2
188,2018,KELANTAN,Married,422.9
189,2018,KELANTAN,Widowed,17.9
190,2018,KELANTAN,Divorced/permanently separated,18.4
191,2018,MELAKA,Total,416.7
192,2018,MELAKA,Never married,145.1
193,2018,MELAKA,Married,255.1
194,2018,MELAKA,Widowed,7.8
195,2018,MELAKA,Divorced/permanently separated,8.8
196,2018,N.SEMBILAN,Total,488.6
197,2018,N.SEMBILAN,Never married,169
198,2018,N.SEMBILAN,Married,299
199,2018,N.SEMBILAN,Widowed,10.1
200,2018,N.SEMBILAN,Divorced/permanently separated,10.5
201,2018,PAHANG,Total,716.6
202,2018,PAHANG,Never married,241
203,2018,PAHANG,Married,442
204,2018,PAHANG,Widowed,19.1
205,2018,PAHANG,Divorced/permanently separated,14.5
206,2018,P.PINANG,Total,830.8
207,2018,P.PINANG,Never married,325
208,2018,P.PINANG,Married,470.6
209,2018,P.PINANG,Widowed,14.6
210,2018,P.PINANG,Divorced/permanently separated,20.7
211,2018,PERAK,Total,1034.8
212,2018,PERAK,Never married,381.1
213,2018,PERAK,Married,607.1
214,2018,PERAK,Widowed,25.2
215,2018,PERAK,Divorced/permanently separated,21.5
216,2018,PERLIS,Total,104
217,2018,PERLIS,Never married,31.5
218,2018,PERLIS,Married,66.8
219,2018,PERLIS,Widowed,2.8
220,2018,PERLIS,Divorced/permanently separated,2.8
221,2018,SELANGOR,Total,3446.7
222,2018,SELANGOR,Never married,1117
223,2018,SELANGOR,Married,2211
224,2018,SELANGOR,Widowed,63.3
225,2018,SELANGOR,Divorced/permanently separated,55.3
226,2018,TERENGGANU,Total,447.8
227,2018,TERENGGANU,Never married,151.2
228,2018,TERENGGANU,Married,274.4
229,2018,TERENGGANU,Widowed,11.9
230,2018,TERENGGANU,Divorced/permanently separated,10.3
231,2018,SABAH,Total,1825.5
232,2018,SABAH,Never married,661.2
233,2018,SABAH,Married,1097.8
234,2018,SABAH,Widowed,30.5
235,2018,SABAH,Divorced/permanently separated,36
236,2018,SARAWAK,Total,1274.4
237,2018,SARAWAK,Never married,445.7
238,2018,SARAWAK,Married,775.9
239,2018,SARAWAK,Widowed,24.6
240,2018,SARAWAK,Divorced/permanently separated,28.1
241,2018,W.P.KUALA LUMPUR,Total,824.4
242,2018,W.P.KUALA LUMPUR,Never married,339.4
243,2018,W.P.KUALA LUMPUR,Married,452.4
244,2018,W.P.KUALA LUMPUR,Widowed,14.4
245,2018,W.P.KUALA LUMPUR,Divorced/permanently separated,18.1
246,2018,W.P.LABUAN,Total,41.5
247,2018,W.P.LABUAN,Never married,13.3
248,2018,W.P.LABUAN,Married,26.7
249,2018,W.P.LABUAN,Widowed,0.6
250,2018,W.P.LABUAN,Divorced/permanently separated,1
251,2018,W.P.PUTRAJAYA,Total,38.4
252,2018,W.P.PUTRAJAYA,Never married,6.6
253,2018,W.P.PUTRAJAYA,Married,30.5
254,2018,W.P.PUTRAJAYA,Widowed,0.7
255,2018,W.P.PUTRAJAYA,Divorced/permanently separated,0.6
256,2017,MALAYSIA,Total,14476.8
257,2017,MALAYSIA,Never married,4953.4
258,2017,MALAYSIA,Married,8932.7
259,2017,MALAYSIA,Widowed,294.1
260,2017,MALAYSIA,Divorced/permanently separated,296.6
261,2017,JOHOR,Total,1616.7
262,2017,JOHOR,Never married,544.4
263,2017,JOHOR,Married,1015.4
264,2017,JOHOR,Widowed,29
265,2017,JOHOR,Divorced/permanently separated,28
266,2017,KEDAH,Total,906.3
267,2017,KEDAH,Never married,298.1
268,2017,KEDAH,Married,561.7
269,2017,KEDAH,Widowed,27.3
270,2017,KEDAH,Divorced/permanently separated,19.1
271,2017,KELANTAN,Total,676
272,2017,KELANTAN,Never married,213
273,2017,KELANTAN,Married,427.1
274,2017,KELANTAN,Widowed,18.1
275,2017,KELANTAN,Divorced/permanently separated,17.8
276,2017,MELAKA,Total,406.2
277,2017,MELAKA,Never married,145.9
278,2017,MELAKA,Married,242.9
279,2017,MELAKA,Widowed,8
280,2017,MELAKA,Divorced/permanently separated,9.4
281,2017,N.SEMBILAN,Total,477.3
282,2017,N.SEMBILAN,Never married,170.2
283,2017,N.SEMBILAN,Married,284.7
284,2017,N.SEMBILAN,Widowed,11
285,2017,N.SEMBILAN,Divorced/permanently separated,11.4
286,2017,PAHANG,Total,690.2
287,2017,PAHANG,Never married,230.3
288,2017,PAHANG,Married,428.2
289,2017,PAHANG,Widowed,19.4
290,2017,PAHANG,Divorced/permanently separated,12.3
291,2017,P.PINANG,Total,823.8
292,2017,P.PINANG,Never married,318.7
293,2017,P.PINANG,Married,467.5
